"GEO_ID","NAME","B01003_001M","B01003_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"1600000US0132584","Hackneyville CDP, Alabama","93","250",
"1600000US0132656","Haleburg town, Alabama","62","99",
"1600000US0132704","Haleyville city, Alabama","56","4251",
"1600000US0132848","Hamilton city, Alabama","22","6868",
"1600000US0132896","Hammondville town, Alabama","138","446",
"1600000US0132968","Hanceville city, Alabama","19","2995",
"1600000US0133256","Harpersville town, Alabama","339","1927",
"1600000US0133424","Hartford city, Alabama","25","2581",
"1600000US0133448","Hartselle city, Alabama","44","13840",
"1600000US0133472","Harvest CDP, Alabama","631","4415",
"1600000US0133544","Hatton CDP, Alabama","67","151",
"1600000US0133640","Hayden town, Alabama","213","553",
"1600000US0133712","Hayneville town, Alabama","355","1424",
"1600000US0133808","Hazel Green CDP, Alabama","614","3696",
"1600000US0133856","Headland city, Alabama","51","4407",
"1600000US0133904","Heath town, Alabama","115","259",
"1600000US0133976","Heflin city, Alabama","15","3449",
"1600000US0134024","Helena city, Alabama","257","15463",
"1600000US0134096","Henagar city, Alabama","414","2511",
"1600000US0134480","Highland Lake town, Alabama","157","478",
"1600000US0134490","Highland Lakes CDP, Alabama","378","3618",
"1600000US0134816","Hillsboro town, Alabama","206","651",
"1600000US0134984","Hissop CDP, Alabama","275","788",
"1600000US0135130","Hobson CDP, Alabama","31","28",
"1600000US0135152","Hobson City town, Alabama","203","811",
"1600000US0135200","Hodges town, Alabama","92","258",
"1600000US0135392","Hokes Bluff city, Alabama","19","4240",
"1600000US0135512","Hollins CDP, Alabama","295","842",
"1600000US0135536","Hollis Crossroads CDP, Alabama","259","540",
"1600000US0135560","Holly Pond town, Alabama","293","949",
"1600000US0135632","Hollywood town, Alabama","231","1059",
"1600000US0135704","Holt CDP, Alabama","510","3991",
"1600000US0135752","Holtville CDP, Alabama","460","4394",
"1600000US0135800","Homewood city, Alabama","35","25078",
"1600000US0135896","Hoover city, Alabama","53","78543",
"1600000US0136088","Horn Hill town, Alabama","185","362",
"1600000US0136448","Hueytown city, Alabama","51","16032",
"1600000US0136592","Huguley CDP, Alabama","384","3086",
"1600000US0137000","Huntsville city, Alabama","344","175416",
"1600000US0137096","Hurtsboro town, Alabama","154","432",
"1600000US0137264","Hytop town, Alabama","107","393",
"1600000US0137312","Ider town, Alabama","238","869",
"1600000US0137465","Indian Springs Village city, Alabama","343","2476",
"1600000US0137864","Irondale city, Alabama","31","12180",
"1600000US0138032","Ivalee CDP, Alabama","281","1027",
"1600000US0138152","Jackson city, Alabama","20","5279",
"1600000US0138248","Jacksons' Gap town, Alabama","238","841",
"1600000US0138272","Jacksonville city, Alabama","43","11791",
"1600000US0138416","Jasper city, Alabama","64","14307",
"1600000US0138608","Jemison city, Alabama","23","2587",
"1600000US0139088","Joppa CDP, Alabama","91","157",
"1600000US0139280","Kansas town, Alabama","98","287",
"1600000US0139472","Kellyton town, Alabama","116","341",
"1600000US0139520","Kennedy town, Alabama","163","471",
"1600000US0139784","Killen town, Alabama","280","1384",
"1600000US0139856","Kimberly town, Alabama","25","2537",
"1600000US0140072","Kinsey town, Alabama","292","2106",
"1600000US0140096","Kinston town, Alabama","143","564",
"1600000US0140648","Ladonia CDP, Alabama","699","3518",
"1600000US0140672","La Fayette city, Alabama","22","3037",
"1600000US0140888","Lakeview town, Alabama","83","107",
"1600000US0140928","Lake View town, Alabama","267","1851",
"1600000US0141296","Lanett city, Alabama","31","6722",
"1600000US0141368","Langston town, Alabama","113","339",
"1600000US0141968","Leeds city, Alabama","371","11314",
"1600000US0142016","Leesburg town, Alabama","228","879",
"1600000US0142160","Leighton town, Alabama","156","657",
"1600000US0142304","Leroy CDP, Alabama","244","666",
"1600000US0142352","Lester town, Alabama","55","133",
"1600000US0142472","Level Plains town, Alabama","225","1672",
"1600000US0142640","Lexington town, Alabama","147","695",
"1600000US0142808","Libertyville town, Alabama","72","85",
"1600000US0143120","Lincoln city, Alabama","21","6065",
"1600000US0143240","Linden city, Alabama","654","2746",
"1600000US0143264","Lineville city, Alabama","392","2477",
"1600000US0143336","Lipscomb city, Alabama","317","1860",
"1600000US0143384","Lisman town, Alabama","210","436",
"1600000US0143648","Littleville town, Alabama","191","990",
